,compound,create_date,negative,neutral,news_media,positive,tweets_ago
0,0.0,2018-03-07 21:19:00+00:00,0.0,1.0,nytimes,0.0,0
1,0.7783,2018-03-07 21:14:00+00:00,0.102,0.511,nytimes,0.387,-1
2,-0.7506,2018-03-07 21:10:00+00:00,0.329,0.571,nytimes,0.1,-2
3,-0.4588,2018-03-07 21:05:08+00:00,0.129,0.82,nytimes,0.051,-3
4,0.5574,2018-03-07 21:00:25+00:00,0.0,0.859,nytimes,0.141,-4
5,-0.0258,2018-03-07 20:45:06+00:00,0.176,0.654,nytimes,0.17,-5
6,0.0,2018-03-07 20:39:34+00:00,0.0,1.0,nytimes,0.0,-6
7,0.0,2018-03-07 20:36:06+00:00,0.0,1.0,nytimes,0.0,-7
8,0.0,2018-03-07 20:30:12+00:00,0.0,1.0,nytimes,0.0,-8
9,-0.3612,2018-03-07 20:20:56+00:00,0.152,0.848,nytimes,0.0,-9
10,0.2944,2018-03-07 20:17:46+00:00,0.069,0.813,nytimes,0.118,-10
11,0.0,2018-03-07 20:15:06+00:00,0.0,1.0,nytimes,0.0,-11
12,0.0,2018-03-07 20:00:25+00:00,0.0,1.0,nytimes,0.0,-12
13,0.7096,2018-03-07 19:45:05+00:00,0.0,0.743,nytimes,0.257,-13
14,0.1366,2018-03-07 19:30:27+00:00,0.196,0.587,nytimes,0.218,-14
15,0.0,2018-03-07 19:15:13+00:00,0.0,1.0,nytimes,0.0,-15
16,0.0,2018-03-07 19:00:38+00:00,0.0,1.0,nytimes,0.0,-16
17,-0.6361,2018-03-07 18:50:09+00:00,0.285,0.62,nytimes,0.095,-17
18,-0.6124,2018-03-07 18:40:42+00:00,0.238,0.762,nytimes,0.0,-18
19,-0.2732,2018-03-07 18:27:53+00:00,0.11,0.89,nytimes,0.0,-19
20,-0.1293,2018-03-07 18:12:50+00:00,0.126,0.812,nytimes,0.062,-20
21,0.5423,2018-03-07 18:00:40+00:00,0.0,0.824,nytimes,0.176,-21
22,-0.4939,2018-03-07 17:54:59+00:00,0.144,0.856,nytimes,0.0,-22
23,0.0,2018-03-07 17:47:40+00:00,0.0,1.0,nytimes,0.0,-23
24,0.25,2018-03-07 17:45:49+00:00,0.0,0.895,nytimes,0.105,-24
25,-0.6249,2018-03-07 17:44:03+00:00,0.177,0.823,nytimes,0.0,-25
26,0.25,2018-03-07 17:43:52+00:00,0.155,0.655,nytimes,0.19,-26
27,-0.3818,2018-03-07 17:27:52+00:00,0.106,0.894,nytimes,0.0,-27
28,0.0,2018-03-07 17:26:18+00:00,0.0,1.0,nytimes,0.0,-28
29,0.0,2018-03-07 17:18:08+00:00,0.0,1.0,nytimes,0.0,-29
30,0.0,2018-03-07 17:15:10+00:00,0.0,1.0,nytimes,0.0,-30
31,0.5994,2018-03-07 17:12:07+00:00,0.077,0.701,nytimes,0.221,-31
32,0.1779,2018-03-07 17:00:30+00:00,0.0,0.904,nytimes,0.096,-32
33,0.0,2018-03-07 16:45:13+00:00,0.0,1.0,nytimes,0.0,-33
34,0.0,2018-03-07 16:36:04+00:00,0.0,1.0,nytimes,0.0,-34
35,0.4404,2018-03-07 16:30:27+00:00,0.0,0.775,nytimes,0.225,-35
36,-0.4951,2018-03-07 16:23:02+00:00,0.201,0.72,nytimes,0.079,-36
37,0.2023,2018-03-07 16:15:10+00:00,0.273,0.417,nytimes,0.31,-37
38,0.2023,2018-03-07 16:06:02+00:00,0.0,0.913,nytimes,0.087,-38
39,-0.5256,2018-03-07 16:00:30+00:00,0.166,0.834,nytimes,0.0,-39
40,0.2023,2018-03-07 15:51:07+00:00,0.0,0.917,nytimes,0.083,-40
41,-0.5267,2018-03-07 15:39:39+00:00,0.196,0.804,nytimes,0.0,-41
42,0.0,2018-03-07 15:37:05+00:00,0.0,1.0,nytimes,0.0,-42
43,0.2023,2018-03-07 15:33:05+00:00,0.0,0.913,nytimes,0.087,-43
44,0.8481,2018-03-07 15:30:00+00:00,0.0,0.586,nytimes,0.414,-44
45,0.4019,2018-03-07 15:18:03+00:00,0.136,0.617,nytimes,0.247,-45
46,0.4215,2018-03-07 15:11:06+00:00,0.0,0.872,nytimes,0.128,-46
47,0.0,2018-03-07 15:00:37+00:00,0.0,1.0,nytimes,0.0,-47
48,-0.0258,2018-03-07 14:50:11+00:00,0.163,0.717,nytimes,0.12,-48
49,0.743,2018-03-07 14:40:09+00:00,0.0,0.741,nytimes,0.259,-49
50,-0.4404,2018-03-07 14:30:05+00:00,0.121,0.879,nytimes,0.0,-50
51,-0.3182,2018-03-07 14:15:08+00:00,0.173,0.827,nytimes,0.0,-51
52,0.3612,2018-03-07 14:00:14+00:00,0.0,0.872,nytimes,0.128,-52
53,-0.3875,2018-03-07 13:44:01+00:00,0.141,0.859,nytimes,0.0,-53
54,0.0,2018-03-07 13:30:20+00:00,0.0,1.0,nytimes,0.0,-54
55,-0.5267,2018-03-07 13:14:06+00:00,0.152,0.848,nytimes,0.0,-55
56,0.0,2018-03-07 13:00:32+00:00,0.0,1.0,nytimes,0.0,-56
57,-0.1531,2018-03-07 12:45:06+00:00,0.113,0.802,nytimes,0.085,-57
58,0.0,2018-03-07 12:30:08+00:00,0.0,1.0,nytimes,0.0,-58
59,0.0,2018-03-07 12:14:07+00:00,0.0,1.0,nytimes,0.0,-59
60,0.4215,2018-03-07 12:00:28+00:00,0.0,0.872,nytimes,0.128,-60
61,-0.128,2018-03-07 11:44:03+00:00,0.134,0.753,nytimes,0.113,-61
62,0.0,2018-03-07 11:30:19+00:00,0.0,1.0,nytimes,0.0,-62
63,0.4215,2018-03-07 11:13:02+00:00,0.0,0.882,nytimes,0.118,-63
64,0.0,2018-03-07 11:00:26+00:00,0.0,1.0,nytimes,0.0,-64
65,0.0,2018-03-07 10:45:12+00:00,0.0,1.0,nytimes,0.0,-65
66,0.296,2018-03-07 10:30:14+00:00,0.071,0.816,nytimes,0.112,-66
67,-0.8714,2018-03-07 10:16:06+00:00,0.42,0.58,nytimes,0.0,-67
68,0.4215,2018-03-07 10:00:10+00:00,0.0,0.877,nytimes,0.123,-68
69,0.4404,2018-03-07 09:44:01+00:00,0.0,0.813,nytimes,0.187,-69
70,-0.8126,2018-03-07 09:30:06+00:00,0.291,0.709,nytimes,0.0,-70
71,-0.5106,2018-03-07 09:16:04+00:00,0.148,0.852,nytimes,0.0,-71
72,-0.3875,2018-03-07 09:02:03+00:00,0.208,0.792,nytimes,0.0,-72
73,-0.5994,2018-03-07 08:47:02+00:00,0.187,0.813,nytimes,0.0,-73
74,-0.3612,2018-03-07 08:32:07+00:00,0.2,0.8,nytimes,0.0,-74
75,0.0,2018-03-07 08:17:02+00:00,0.0,1.0,nytimes,0.0,-75
76,0.4019,2018-03-07 08:09:43+00:00,0.0,0.816,nytimes,0.184,-76
77,0.0,2018-03-07 08:02:03+00:00,0.0,1.0,nytimes,0.0,-77
78,0.0,2018-03-07 07:38:54+00:00,0.0,1.0,nytimes,0.0,-78
79,0.0,2018-03-07 07:21:27+00:00,0.0,1.0,nytimes,0.0,-79
80,0.4404,2018-03-07 07:04:23+00:00,0.0,0.868,nytimes,0.132,-80
81,0.4404,2018-03-07 06:48:04+00:00,0.0,0.813,nytimes,0.187,-81
82,0.0,2018-03-07 06:41:56+00:00,0.0,1.0,nytimes,0.0,-82
83,-0.8316,2018-03-07 06:21:01+00:00,0.496,0.372,nytimes,0.132,-83
84,0.3182,2018-03-07 06:03:13+00:00,0.086,0.769,nytimes,0.145,-84
85,0.4588,2018-03-07 05:47:04+00:00,0.094,0.726,nytimes,0.179,-85
86,0.0,2018-03-07 05:32:02+00:00,0.0,1.0,nytimes,0.0,-86
87,0.3895,2018-03-07 05:17:02+00:00,0.077,0.743,nytimes,0.18,-87
88,0.0,2018-03-07 05:02:10+00:00,0.0,1.0,nytimes,0.0,-88
89,-0.7717,2018-03-07 04:58:41+00:00,0.518,0.314,nytimes,0.168,-89
90,0.0,2018-03-07 04:47:04+00:00,0.0,1.0,nytimes,0.0,-90
91,0.0,2018-03-07 04:32:05+00:00,0.0,1.0,nytimes,0.0,-91
92,-0.6249,2018-03-07 04:17:05+00:00,0.242,0.758,nytimes,0.0,-92
93,0.0,2018-03-07 04:02:02+00:00,0.0,1.0,nytimes,0.0,-93
94,-0.3875,2018-03-07 03:48:08+00:00,0.208,0.792,nytimes,0.0,-94
95,-0.3818,2018-03-07 03:36:04+00:00,0.106,0.894,nytimes,0.0,-95
96,0.7003,2018-03-07 03:26:04+00:00,0.0,0.736,nytimes,0.264,-96
97,-0.7506,2018-03-07 03:17:06+00:00,0.274,0.726,nytimes,0.0,-97
98,0.0,2018-03-07 03:02:06+00:00,0.0,1.0,nytimes,0.0,-98
99,0.0,2018-03-07 02:47:04+00:00,0.0,1.0,nytimes,0.0,-99
0,0.5719,2018-03-07 21:11:03+00:00,0.0,0.778,CNN,0.222,0
1,-0.4215,2018-03-07 21:01:07+00:00,0.167,0.833,CNN,0.0,-1
2,0.0,2018-03-07 20:51:07+00:00,0.0,1.0,CNN,0.0,-2
3,0.0,2018-03-07 20:41:20+00:00,0.0,1.0,CNN,0.0,-3
4,0.0,2018-03-07 20:29:18+00:00,0.0,1.0,CNN,0.0,-4
5,0.1779,2018-03-07 20:17:08+00:00,0.0,0.928,CNN,0.072,-5
6,0.0,2018-03-07 20:10:39+00:00,0.0,1.0,CNN,0.0,-6
7,0.8176,2018-03-07 20:07:34+00:00,0.0,0.691,CNN,0.309,-7
8,-0.1655,2018-03-07 20:02:07+00:00,0.109,0.808,CNN,0.083,-8
9,0.0,2018-03-07 19:59:31+00:00,0.0,1.0,CNN,0.0,-9
10,0.0,2018-03-07 19:58:37+00:00,0.0,1.0,CNN,0.0,-10
11,0.0,2018-03-07 19:56:03+00:00,0.0,1.0,CNN,0.0,-11
12,0.8225,2018-03-07 19:50:04+00:00,0.0,0.677,CNN,0.323,-12
13,0.0,2018-03-07 19:47:41+00:00,0.0,1.0,CNN,0.0,-13
14,0.0,2018-03-07 19:40:08+00:00,0.0,1.0,CNN,0.0,-14
15,0.0,2018-03-07 19:30:30+00:00,0.0,1.0,CNN,0.0,-15
16,-0.6249,2018-03-07 19:20:17+00:00,0.298,0.702,CNN,0.0,-16
17,-0.2732,2018-03-07 19:10:53+00:00,0.116,0.884,CNN,0.0,-17
18,0.0,2018-03-07 19:00:23+00:00,0.0,1.0,CNN,0.0,-18
19,-0.0191,2018-03-07 18:52:26+00:00,0.066,0.871,CNN,0.063,-19
20,0.0,2018-03-07 18:50:08+00:00,0.0,1.0,CNN,0.0,-20
21,0.1779,2018-03-07 18:40:14+00:00,0.0,0.904,CNN,0.096,-21
22,0.2187,2018-03-07 18:30:04+00:00,0.095,0.774,CNN,0.13,-22
23,-0.25,2018-03-07 18:20:41+00:00,0.114,0.818,CNN,0.068,-23
24,-0.2263,2018-03-07 18:10:08+00:00,0.112,0.888,CNN,0.0,-24
25,0.296,2018-03-07 18:00:05+00:00,0.0,0.855,CNN,0.145,-25
26,-0.4939,2018-03-07 17:48:53+00:00,0.151,0.849,CNN,0.0,-26
27,0.2263,2018-03-07 17:42:14+00:00,0.118,0.718,CNN,0.164,-27
28,0.5994,2018-03-07 17:34:33+00:00,0.0,0.738,CNN,0.262,-28
29,0.0,2018-03-07 17:21:06+00:00,0.0,1.0,CNN,0.0,-29
30,-0.7003,2018-03-07 17:15:14+00:00,0.279,0.721,CNN,0.0,-30
31,0.0772,2018-03-07 17:07:32+00:00,0.0,0.939,CNN,0.061,-31
32,0.0,2018-03-07 17:00:02+00:00,0.0,1.0,CNN,0.0,-32
33,-0.4588,2018-03-07 16:52:18+00:00,0.15,0.85,CNN,0.0,-33
34,0.7269,2018-03-07 16:50:39+00:00,0.0,0.724,CNN,0.276,-34
35,0.6369,2018-03-07 16:40:06+00:00,0.0,0.755,CNN,0.245,-35
36,-0.5267,2018-03-07 16:32:47+00:00,0.196,0.708,CNN,0.096,-36
37,0.9274,2018-03-07 16:30:00+00:00,0.0,0.543,CNN,0.457,-37
38,0.0,2018-03-07 16:20:13+00:00,0.0,1.0,CNN,0.0,-38
39,-0.3818,2018-03-07 16:10:07+00:00,0.159,0.841,CNN,0.0,-39
40,0.0,2018-03-07 16:10:07+00:00,0.0,1.0,CNN,0.0,-40
41,0.0,2018-03-07 16:01:44+00:00,0.0,1.0,CNN,0.0,-41
42,0.2023,2018-03-07 15:51:29+00:00,0.0,0.909,CNN,0.091,-42
43,-0.3818,2018-03-07 15:41:14+00:00,0.194,0.806,CNN,0.0,-43
44,0.0,2018-03-07 15:41:10+00:00,0.0,1.0,CNN,0.0,-44
45,-0.8934,2018-03-07 15:30:19+00:00,0.401,0.599,CNN,0.0,-45
46,0.0,2018-03-07 15:20:13+00:00,0.0,1.0,CNN,0.0,-46
47,0.0,2018-03-07 15:10:15+00:00,0.0,1.0,CNN,0.0,-47
48,0.25,2018-03-07 15:00:13+00:00,0.0,0.857,CNN,0.143,-48
49,0.6597,2018-03-07 14:50:08+00:00,0.0,0.779,CNN,0.221,-49
50,0.0,2018-03-07 14:40:08+00:00,0.0,1.0,CNN,0.0,-50
51,-0.296,2018-03-07 14:30:20+00:00,0.099,0.901,CNN,0.0,-51
52,-0.4019,2018-03-07 14:20:17+00:00,0.213,0.787,CNN,0.0,-52
53,0.4767,2018-03-07 14:11:31+00:00,0.0,0.86,CNN,0.14,-53
54,0.0,2018-03-07 14:09:18+00:00,0.0,1.0,CNN,0.0,-54
55,-0.4939,2018-03-07 14:00:06+00:00,0.222,0.677,CNN,0.102,-55
56,0.0,2018-03-07 13:54:00+00:00,0.0,1.0,CNN,0.0,-56
57,0.0,2018-03-07 13:49:48+00:00,0.0,1.0,CNN,0.0,-57
58,0.0,2018-03-07 13:37:31+00:00,0.0,1.0,CNN,0.0,-58
59,-0.25,2018-03-07 13:23:59+00:00,0.114,0.818,CNN,0.068,-59
60,-0.0772,2018-03-07 13:17:58+00:00,0.14,0.86,CNN,0.0,-60
61,-0.3182,2018-03-07 13:10:06+00:00,0.155,0.845,CNN,0.0,-61
62,0.4588,2018-03-07 13:05:54+00:00,0.0,0.81,CNN,0.19,-62
63,-0.7184,2018-03-07 13:04:04+00:00,0.333,0.667,CNN,0.0,-63
64,-0.0772,2018-03-07 12:59:37+00:00,0.108,0.797,CNN,0.096,-64
65,-0.5719,2018-03-07 12:49:47+00:00,0.247,0.636,CNN,0.117,-65
66,-0.1027,2018-03-07 12:43:05+00:00,0.139,0.739,CNN,0.122,-66
67,0.3818,2018-03-07 12:32:25+00:00,0.0,0.874,CNN,0.126,-67
68,0.0,2018-03-07 12:22:28+00:00,0.0,1.0,CNN,0.0,-68
69,0.0,2018-03-07 12:20:07+00:00,0.0,1.0,CNN,0.0,-69
70,0.0,2018-03-07 12:10:01+00:00,0.0,1.0,CNN,0.0,-70
71,0.0,2018-03-07 12:00:30+00:00,0.0,1.0,CNN,0.0,-71
72,0.0,2018-03-07 11:50:29+00:00,0.0,1.0,CNN,0.0,-72
73,-0.4588,2018-03-07 11:42:05+00:00,0.211,0.789,CNN,0.0,-73
74,-0.4939,2018-03-07 11:30:04+00:00,0.229,0.688,CNN,0.083,-74
75,0.0,2018-03-07 11:23:56+00:00,0.0,1.0,CNN,0.0,-75
76,-0.1027,2018-03-07 10:56:16+00:00,0.11,0.8,CNN,0.09,-76
77,-0.5574,2018-03-07 10:40:45+00:00,0.247,0.753,CNN,0.0,-77
78,-0.5759,2018-03-07 10:30:16+00:00,0.208,0.792,CNN,0.0,-78
79,-0.9648,2018-03-07 10:24:04+00:00,0.608,0.392,CNN,0.0,-79
80,-0.5267,2018-03-07 09:59:28+00:00,0.196,0.708,CNN,0.096,-80
81,0.5413,2018-03-07 09:47:40+00:00,0.108,0.643,CNN,0.249,-81
82,0.0,2018-03-07 09:35:03+00:00,0.0,1.0,CNN,0.0,-82
83,-0.796,2018-03-07 09:22:57+00:00,0.262,0.738,CNN,0.0,-83
84,-0.1027,2018-03-07 09:10:50+00:00,0.139,0.739,CNN,0.122,-84
85,-0.5759,2018-03-07 08:58:05+00:00,0.208,0.792,CNN,0.0,-85
86,-0.4404,2018-03-07 08:47:33+00:00,0.16,0.789,CNN,0.051,-86
87,0.4767,2018-03-07 08:31:05+00:00,0.0,0.86,CNN,0.14,-87
88,0.0,2018-03-07 08:26:23+00:00,0.0,1.0,CNN,0.0,-88
89,0.0,2018-03-07 08:01:03+00:00,0.0,1.0,CNN,0.0,-89
90,-0.2263,2018-03-07 08:00:36+00:00,0.091,0.909,CNN,0.0,-90
91,0.0,2018-03-07 07:44:49+00:00,0.0,1.0,CNN,0.0,-91
92,0.3182,2018-03-07 07:31:04+00:00,0.0,0.897,CNN,0.103,-92
93,0.6249,2018-03-07 07:30:05+00:00,0.0,0.837,CNN,0.163,-93
94,-0.802,2018-03-07 07:09:30+00:00,0.298,0.702,CNN,0.0,-94
95,0.0772,2018-03-07 07:01:07+00:00,0.0,0.939,CNN,0.061,-95
96,-0.5574,2018-03-07 06:45:12+00:00,0.247,0.753,CNN,0.0,-96
97,0.0,2018-03-07 06:41:49+00:00,0.0,1.0,CNN,0.0,-97
98,-0.3182,2018-03-07 06:39:42+00:00,0.141,0.859,CNN,0.0,-98
99,-0.5267,2018-03-07 06:35:07+00:00,0.196,0.708,CNN,0.096,-99
0,0.0,2018-03-07 19:12:02+00:00,0.0,1.0,BBC,0.0,0
1,0.0,2018-03-07 18:23:04+00:00,0.0,1.0,BBC,0.0,-1
2,0.4987,2018-03-07 17:42:01+00:00,0.0,0.736,BBC,0.264,-2
3,0.0,2018-03-07 17:27:29+00:00,0.0,1.0,BBC,0.0,-3
4,0.0,2018-03-07 17:22:51+00:00,0.0,1.0,BBC,0.0,-4
5,0.8555,2018-03-07 17:22:23+00:00,0.0,0.63,BBC,0.37,-5
6,0.0,2018-03-07 17:16:45+00:00,0.0,1.0,BBC,0.0,-6
7,0.5562,2018-03-07 17:14:49+00:00,0.0,0.817,BBC,0.183,-7
8,0.0,2018-03-07 17:13:49+00:00,0.0,1.0,BBC,0.0,-8
9,0.0,2018-03-07 16:15:06+00:00,0.0,1.0,BBC,0.0,-9
10,0.0,2018-03-07 14:30:03+00:00,0.0,1.0,BBC,0.0,-10
11,0.1742,2018-03-07 13:24:05+00:00,0.109,0.751,BBC,0.14,-11
12,-0.6369,2018-03-07 12:30:04+00:00,0.321,0.597,BBC,0.082,-12
13,0.0,2018-03-07 11:42:44+00:00,0.0,1.0,BBC,0.0,-13
14,-0.2244,2018-03-07 11:07:18+00:00,0.076,0.924,BBC,0.0,-14
15,-0.4404,2018-03-07 10:46:56+00:00,0.132,0.868,BBC,0.0,-15
16,0.4927,2018-03-07 10:41:15+00:00,0.0,0.775,BBC,0.225,-16
17,0.4404,2018-03-07 09:58:38+00:00,0.108,0.681,BBC,0.211,-17
18,0.0,2018-03-07 09:00:07+00:00,0.0,1.0,BBC,0.0,-18
19,0.4926,2018-03-07 08:46:22+00:00,0.0,0.825,BBC,0.175,-19
20,0.4215,2018-03-07 08:46:14+00:00,0.0,0.891,BBC,0.109,-20
21,-0.6808,2018-03-07 08:45:50+00:00,0.211,0.789,BBC,0.0,-21
22,0.4215,2018-03-07 08:44:59+00:00,0.0,0.877,BBC,0.123,-22
23,-0.8591,2018-03-07 08:30:07+00:00,0.373,0.627,BBC,0.0,-23
24,0.5994,2018-03-07 08:00:04+00:00,0.0,0.769,BBC,0.231,-24
25,0.0,2018-03-06 19:30:06+00:00,0.0,1.0,BBC,0.0,-25
26,-0.4215,2018-03-06 18:30:07+00:00,0.219,0.781,BBC,0.0,-26
27,0.4939,2018-03-06 18:03:04+00:00,0.0,0.873,BBC,0.127,-27
28,-0.1027,2018-03-06 17:30:07+00:00,0.185,0.65,BBC,0.165,-28
29,0.0,2018-03-06 17:25:44+00:00,0.0,1.0,BBC,0.0,-29
30,0.3182,2018-03-06 17:02:04+00:00,0.0,0.881,BBC,0.119,-30
31,-0.0644,2018-03-06 15:30:10+00:00,0.079,0.853,BBC,0.068,-31
32,0.6997,2018-03-06 14:44:33+00:00,0.0,0.692,BBC,0.308,-32
33,0.8439,2018-03-06 14:30:05+00:00,0.0,0.664,BBC,0.336,-33
34,0.7269,2018-03-06 13:48:06+00:00,0.0,0.724,BBC,0.276,-34
35,0.6246,2018-03-06 13:12:33+00:00,0.102,0.605,BBC,0.293,-35
36,0.0,2018-03-06 13:11:26+00:00,0.0,1.0,BBC,0.0,-36
37,0.4404,2018-03-06 13:10:12+00:00,0.0,0.868,BBC,0.132,-37
38,0.5994,2018-03-06 12:30:05+00:00,0.0,0.813,BBC,0.187,-38
39,0.7901,2018-03-06 10:18:16+00:00,0.0,0.72,BBC,0.28,-39
40,0.4215,2018-03-06 09:00:05+00:00,0.0,0.872,BBC,0.128,-40
41,-0.2732,2018-03-06 08:30:10+00:00,0.106,0.837,BBC,0.057,-41
42,0.5023,2018-03-06 08:03:02+00:00,0.0,0.772,BBC,0.228,-42
43,0.0,2018-03-05 19:30:07+00:00,0.0,1.0,BBC,0.0,-43
44,-0.8555,2018-03-05 18:38:04+00:00,0.408,0.592,BBC,0.0,-44
45,0.6124,2018-03-05 17:23:22+00:00,0.0,0.737,BBC,0.263,-45
