,compound,create_date,negative,neutral,news_media,positive,tweets_ago
46,0.4472,2018-03-05 17:15:34+00:00,0.0,0.789,BBC,0.211,-46
47,0.1531,2018-03-05 17:00:31+00:00,0.077,0.818,BBC,0.105,-47
48,0.0,2018-03-05 14:48:43+00:00,0.0,1.0,BBC,0.0,-48
49,-0.1779,2018-03-05 14:43:13+00:00,0.145,0.855,BBC,0.0,-49
50,0.0,2018-03-05 14:42:36+00:00,0.0,1.0,BBC,0.0,-50
51,-0.6621,2018-03-05 14:11:28+00:00,0.24,0.76,BBC,0.0,-51
52,0.0,2018-03-05 14:07:00+00:00,0.0,1.0,BBC,0.0,-52
53,0.0,2018-03-05 13:17:03+00:00,0.0,1.0,BBC,0.0,-53
54,0.0,2018-03-05 13:07:19+00:00,0.0,1.0,BBC,0.0,-54
55,0.6369,2018-03-05 12:34:04+00:00,0.0,0.811,BBC,0.189,-55
56,0.0,2018-03-05 12:33:12+00:00,0.0,1.0,BBC,0.0,-56
57,0.4199,2018-03-05 11:54:02+00:00,0.0,0.843,BBC,0.157,-57
58,0.7845,2018-03-05 11:37:55+00:00,0.0,0.67,BBC,0.33,-58
59,0.7717,2018-03-05 11:00:11+00:00,0.0,0.749,BBC,0.251,-59
60,0.8384,2018-03-05 10:42:57+00:00,0.0,0.655,BBC,0.345,-60
61,0.8126,2018-03-05 10:42:50+00:00,0.0,0.73,BBC,0.27,-61
62,0.0,2018-03-05 10:09:20+00:00,0.0,1.0,BBC,0.0,-62
63,0.5267,2018-03-05 09:58:23+00:00,0.0,0.773,BBC,0.227,-63
64,0.7506,2018-03-05 09:30:07+00:00,0.0,0.714,BBC,0.286,-64
65,0.0,2018-03-05 09:00:05+00:00,0.0,1.0,BBC,0.0,-65
66,0.0,2018-03-05 08:30:04+00:00,0.0,1.0,BBC,0.0,-66
67,0.0,2018-03-05 08:00:04+00:00,0.0,1.0,BBC,0.0,-67
68,0.4019,2018-03-04 20:11:35+00:00,0.089,0.726,BBC,0.184,-68
69,0.8468,2018-03-04 19:00:05+00:00,0.0,0.614,BBC,0.386,-69
70,0.4215,2018-03-04 18:59:39+00:00,0.0,0.882,BBC,0.118,-70
71,-0.3182,2018-03-04 18:00:09+00:00,0.099,0.901,BBC,0.0,-71
72,0.4588,2018-03-04 16:57:46+00:00,0.0,0.889,BBC,0.111,-72
73,0.6369,2018-03-04 16:30:12+00:00,0.0,0.811,BBC,0.189,-73
74,0.3382,2018-03-04 15:30:29+00:00,0.0,0.87,BBC,0.13,-74
75,0.1779,2018-03-04 15:00:06+00:00,0.0,0.876,BBC,0.124,-75
76,0.0498,2018-03-04 14:03:03+00:00,0.17,0.65,BBC,0.18,-76
77,0.802,2018-03-04 13:46:48+00:00,0.0,0.702,BBC,0.298,-77
78,0.2263,2018-03-04 13:30:06+00:00,0.0,0.899,BBC,0.101,-78
79,0.0,2018-03-04 12:57:19+00:00,0.0,1.0,BBC,0.0,-79
80,0.4939,2018-03-04 12:56:49+00:00,0.0,0.882,BBC,0.118,-80
81,-0.765,2018-03-04 12:56:15+00:00,0.28,0.72,BBC,0.0,-81
82,0.7003,2018-03-04 12:55:43+00:00,0.0,0.775,BBC,0.225,-82
83,0.0,2018-03-04 12:33:04+00:00,0.0,1.0,BBC,0.0,-83
84,0.0,2018-03-04 12:00:07+00:00,0.0,1.0,BBC,0.0,-84
85,0.0,2018-03-04 11:54:09+00:00,0.0,1.0,BBC,0.0,-85
86,0.0,2018-03-04 11:34:05+00:00,0.0,1.0,BBC,0.0,-86
87,0.5141,2018-03-04 11:00:02+00:00,0.0,0.678,BBC,0.322,-87
88,0.657,2018-03-04 10:33:01+00:00,0.0,0.715,BBC,0.285,-88
89,0.0,2018-03-04 09:30:03+00:00,0.0,1.0,BBC,0.0,-89
90,0.6249,2018-03-03 21:21:40+00:00,0.0,0.745,BBC,0.255,-90
91,0.296,2018-03-03 19:36:06+00:00,0.0,0.833,BBC,0.167,-91
92,0.1695,2018-03-03 19:00:05+00:00,0.11,0.72,BBC,0.17,-92
93,-0.7717,2018-03-03 18:00:16+00:00,0.271,0.729,BBC,0.0,-93
94,0.0,2018-03-03 17:58:00+00:00,0.0,1.0,BBC,0.0,-94
95,0.0,2018-03-03 17:57:56+00:00,0.0,1.0,BBC,0.0,-95
96,-0.6705,2018-03-03 17:46:46+00:00,0.256,0.744,BBC,0.0,-96
97,0.0,2018-03-03 17:00:03+00:00,0.0,1.0,BBC,0.0,-97
98,0.0,2018-03-03 16:00:08+00:00,0.0,1.0,BBC,0.0,-98
99,0.0,2018-03-03 15:26:56+00:00,0.0,1.0,BBC,0.0,-99
0,-0.2023,2018-03-07 18:39:10+00:00,0.23,0.619,CBS,0.15,0
1,0.0,2018-03-07 17:06:02+00:00,0.0,1.0,CBS,0.0,-1
2,0.6705,2018-03-06 18:10:59+00:00,0.0,0.756,CBS,0.244,-2
3,0.3818,2018-03-05 22:16:43+00:00,0.0,0.833,CBS,0.167,-3
4,0.4404,2018-03-04 08:05:26+00:00,0.0,0.884,CBS,0.116,-4
5,0.0,2018-03-03 20:55:20+00:00,0.0,1.0,CBS,0.0,-5
6,0.7096,2018-03-02 22:30:01+00:00,0.0,0.753,CBS,0.247,-6
7,0.7096,2018-03-02 20:30:01+00:00,0.0,0.718,CBS,0.282,-7
8,0.4939,2018-03-02 18:45:00+00:00,0.0,0.849,CBS,0.151,-8
9,-0.6981,2018-03-01 18:59:01+00:00,0.21,0.79,CBS,0.0,-9
10,0.4547,2018-03-01 18:12:57+00:00,0.092,0.749,CBS,0.159,-10
11,0.8591,2018-03-01 18:11:50+00:00,0.0,0.462,CBS,0.538,-11
12,0.4885,2018-03-01 18:10:50+00:00,0.151,0.615,CBS,0.234,-12
13,0.5994,2018-03-01 14:36:21+00:00,0.0,0.822,CBS,0.178,-13
14,0.7717,2018-03-01 14:29:20+00:00,0.0,0.675,CBS,0.325,-14
15,0.6908,2018-03-01 14:15:29+00:00,0.0,0.725,CBS,0.275,-15
16,0.0,2018-03-01 13:50:11+00:00,0.0,1.0,CBS,0.0,-16
17,0.0,2018-03-01 01:04:52+00:00,0.0,1.0,CBS,0.0,-17
18,0.0,2018-02-28 19:56:58+00:00,0.0,1.0,CBS,0.0,-18
19,0.4404,2018-02-28 19:08:30+00:00,0.0,0.884,CBS,0.116,-19
20,0.5562,2018-02-27 03:23:47+00:00,0.0,0.848,CBS,0.152,-20
21,0.0,2018-02-26 22:50:32+00:00,0.0,1.0,CBS,0.0,-21
22,0.0,2018-02-26 21:08:30+00:00,0.0,1.0,CBS,0.0,-22
23,0.4482,2018-02-26 19:53:41+00:00,0.0,0.895,CBS,0.105,-23
24,0.784,2018-02-26 18:32:36+00:00,0.0,0.734,CBS,0.266,-24
25,0.9359,2018-02-26 18:20:16+00:00,0.0,0.571,CBS,0.429,-25
26,-0.5423,2018-02-26 16:53:56+00:00,0.184,0.816,CBS,0.0,-26
27,0.0,2018-02-26 16:52:01+00:00,0.0,1.0,CBS,0.0,-27
28,0.0,2018-02-26 16:17:55+00:00,0.0,1.0,CBS,0.0,-28
29,0.7644,2018-02-26 01:12:32+00:00,0.0,0.769,CBS,0.231,-29
30,0.0,2018-02-25 21:51:32+00:00,0.0,1.0,CBS,0.0,-30
31,0.0,2018-02-25 21:51:22+00:00,0.0,1.0,CBS,0.0,-31
32,0.5093,2018-02-23 18:15:40+00:00,0.0,0.845,CBS,0.155,-32
33,0.0,2018-02-22 19:26:52+00:00,0.0,1.0,CBS,0.0,-33
34,0.0,2018-02-21 19:20:04+00:00,0.0,1.0,CBS,0.0,-34
35,0.6808,2018-02-21 18:19:25+00:00,0.0,0.752,CBS,0.248,-35
36,0.4404,2018-02-20 19:55:19+00:00,0.0,0.884,CBS,0.116,-36
37,-0.4019,2018-02-20 17:58:18+00:00,0.119,0.881,CBS,0.0,-37
38,0.3612,2018-02-20 17:39:51+00:00,0.0,0.872,CBS,0.128,-38
39,0.6124,2018-02-17 01:07:20+00:00,0.0,0.773,CBS,0.227,-39
40,0.3182,2018-02-16 18:42:43+00:00,0.0,0.892,CBS,0.108,-40
41,0.68,2018-02-16 17:48:20+00:00,0.0,0.752,CBS,0.248,-41
42,0.8619,2018-02-14 19:23:27+00:00,0.0,0.534,CBS,0.466,-42
43,0.0,2018-02-13 20:03:56+00:00,0.0,1.0,CBS,0.0,-43
44,0.7506,2018-02-13 18:54:52+00:00,0.0,0.748,CBS,0.252,-44
45,0.0,2018-02-12 18:49:45+00:00,0.0,1.0,CBS,0.0,-45
46,0.0,2018-02-12 01:32:33+00:00,0.0,1.0,CBS,0.0,-46
47,0.8478,2018-02-09 00:50:01+00:00,0.0,0.696,CBS,0.304,-47
48,-0.5859,2018-02-08 16:09:35+00:00,0.186,0.814,CBS,0.0,-48
49,0.0516,2018-02-07 18:35:19+00:00,0.0,0.934,CBS,0.066,-49
50,0.5574,2018-02-07 16:17:48+00:00,0.152,0.536,CBS,0.312,-50
51,0.0,2018-02-06 22:21:39+00:00,0.0,1.0,CBS,0.0,-51
52,0.0772,2018-02-06 17:05:49+00:00,0.106,0.773,CBS,0.121,-52
53,0.0,2018-02-04 15:35:36+00:00,0.0,1.0,CBS,0.0,-53
54,0.1531,2018-02-04 12:00:01+00:00,0.0,0.882,CBS,0.118,-54
55,0.0,2018-02-03 23:11:43+00:00,0.0,1.0,CBS,0.0,-55
56,0.8268,2018-02-03 12:00:07+00:00,0.0,0.662,CBS,0.338,-56
57,-0.0772,2018-02-02 22:36:13+00:00,0.075,0.925,CBS,0.0,-57
58,0.4019,2018-02-02 20:07:40+00:00,0.0,0.856,CBS,0.144,-58
59,0.4003,2018-02-02 19:03:33+00:00,0.0,0.876,CBS,0.124,-59
60,0.6114,2018-02-02 17:23:18+00:00,0.0,0.834,CBS,0.166,-60
61,0.0,2018-02-01 22:04:41+00:00,0.0,1.0,CBS,0.0,-61
62,0.0,2018-02-01 20:09:49+00:00,0.0,1.0,CBS,0.0,-62
63,0.1139,2018-01-31 21:42:15+00:00,0.0,0.912,CBS,0.088,-63
64,0.1007,2018-01-31 17:05:47+00:00,0.115,0.75,CBS,0.135,-64
65,0.4588,2018-01-31 16:37:17+00:00,0.0,0.812,CBS,0.188,-65
66,0.1779,2018-01-31 06:55:30+00:00,0.095,0.779,CBS,0.126,-66
67,-0.2263,2018-01-31 02:15:16+00:00,0.252,0.569,CBS,0.179,-67
68,-0.4767,2018-01-31 01:58:40+00:00,0.256,0.744,CBS,0.0,-68
69,0.4939,2018-01-31 01:52:46+00:00,0.119,0.625,CBS,0.256,-69
70,0.5093,2018-01-31 01:49:43+00:00,0.0,0.81,CBS,0.19,-70
71,0.8261,2018-01-31 01:31:27+00:00,0.0,0.566,CBS,0.434,-71
72,0.8309,2018-01-31 01:29:10+00:00,0.0,0.586,CBS,0.414,-72
73,0.6588,2018-01-31 01:24:16+00:00,0.0,0.614,CBS,0.386,-73
74,-0.5106,2018-01-31 01:18:37+00:00,0.398,0.602,CBS,0.0,-74
75,0.0,2018-01-31 01:17:37+00:00,0.0,1.0,CBS,0.0,-75
76,0.7525,2018-01-31 01:16:15+00:00,0.0,0.651,CBS,0.349,-76
77,0.0,2018-01-31 01:08:01+00:00,0.0,1.0,CBS,0.0,-77
78,0.8516,2018-01-31 01:04:34+00:00,0.0,0.42,CBS,0.58,-78
79,0.8442,2018-01-31 01:00:35+00:00,0.0,0.649,CBS,0.351,-79
80,0.923,2018-01-31 00:55:04+00:00,0.0,0.594,CBS,0.406,-80
81,0.5994,2018-01-31 00:37:20+00:00,0.0,0.794,CBS,0.206,-81
82,0.8834,2018-01-31 00:11:53+00:00,0.0,0.593,CBS,0.407,-82
83,0.8553,2018-01-30 23:35:01+00:00,0.0,0.724,CBS,0.276,-83
84,0.8553,2018-01-30 21:19:22+00:00,0.0,0.694,CBS,0.306,-84
85,0.9215,2018-01-30 18:46:04+00:00,0.0,0.609,CBS,0.391,-85
86,0.0,2018-01-30 16:00:02+00:00,0.0,1.0,CBS,0.0,-86
87,0.5994,2018-01-30 04:03:31+00:00,0.0,0.813,CBS,0.187,-87
88,0.6908,2018-01-30 03:17:51+00:00,0.0,0.711,CBS,0.289,-88
89,0.0,2018-01-30 02:12:15+00:00,0.0,1.0,CBS,0.0,-89
90,-0.296,2018-01-30 01:29:06+00:00,0.115,0.885,CBS,0.0,-90
91,0.0,2018-01-30 00:11:05+00:00,0.0,1.0,CBS,0.0,-91
92,0.3818,2018-01-29 22:45:21+00:00,0.0,0.885,CBS,0.115,-92
93,0.5093,2018-01-29 22:10:15+00:00,0.079,0.758,CBS,0.162,-93
94,0.0,2018-01-29 20:00:04+00:00,0.0,1.0,CBS,0.0,-94
95,0.7783,2018-01-29 19:00:05+00:00,0.0,0.714,CBS,0.286,-95
96,0.9259,2018-01-29 18:00:02+00:00,0.0,0.558,CBS,0.442,-96
97,0.0,2018-01-29 17:15:04+00:00,0.0,1.0,CBS,0.0,-97
98,0.5106,2018-01-29 16:00:05+00:00,0.0,0.837,CBS,0.163,-98
99,0.1531,2018-01-29 15:00:03+00:00,0.0,0.914,CBS,0.086,-99
0,0.7088,2018-03-07 19:54:53+00:00,0.0,0.337,fox,0.663,0
1,0.4199,2018-03-07 09:45:02+00:00,0.0,0.798,fox,0.202,-1
2,-0.3335,2018-03-07 09:43:47+00:00,0.229,0.64,fox,0.131,-2
3,0.6956,2018-03-07 09:39:32+00:00,0.0,0.582,fox,0.418,-3
4,0.4753,2018-03-07 09:36:36+00:00,0.0,0.808,fox,0.192,-4
5,0.4588,2018-03-07 09:35:30+00:00,0.0,0.4,fox,0.6,-5
6,0.4767,2018-03-07 08:28:30+00:00,0.0,0.819,fox,0.181,-6
7,0.0,2018-03-07 06:33:15+00:00,0.0,1.0,fox,0.0,-7
8,-0.5859,2018-03-07 05:00:04+00:00,0.291,0.597,fox,0.112,-8
9,0.0,2018-03-07 04:55:54+00:00,0.0,1.0,fox,0.0,-9
10,0.0,2018-03-07 04:47:06+00:00,0.0,1.0,fox,0.0,-10
11,0.3818,2018-03-07 04:47:01+00:00,0.0,0.885,fox,0.115,-11
12,-0.8225,2018-03-07 04:41:52+00:00,0.35,0.571,fox,0.079,-12
13,0.0,2018-03-07 04:20:11+00:00,0.0,1.0,fox,0.0,-13
14,0.4199,2018-03-07 03:56:25+00:00,0.0,0.763,fox,0.237,-14
15,0.4738,2018-03-07 03:54:49+00:00,0.0,0.493,fox,0.507,-15
16,0.4588,2018-03-07 02:31:05+00:00,0.0,0.667,fox,0.333,-16
17,0.8221,2018-03-07 01:45:38+00:00,0.0,0.345,fox,0.655,-17
18,0.6696,2018-03-07 01:41:24+00:00,0.0,0.703,fox,0.297,-18
19,0.4199,2018-03-07 01:39:26+00:00,0.0,0.518,fox,0.482,-19
20,0.4588,2018-03-07 01:39:08+00:00,0.0,0.833,fox,0.167,-20
21,0.68,2018-03-07 00:04:33+00:00,0.0,0.682,fox,0.318,-21
22,0.4199,2018-03-06 23:58:16+00:00,0.0,0.518,fox,0.482,-22
23,0.7345,2018-03-06 23:57:53+00:00,0.0,0.447,fox,0.553,-23
24,0.4199,2018-03-06 23:57:37+00:00,0.0,0.518,fox,0.482,-24
25,0.4389,2018-03-06 23:31:16+00:00,0.0,0.847,fox,0.153,-25
26,0.0423,2018-03-06 22:36:40+00:00,0.092,0.809,fox,0.099,-26
27,0.296,2018-03-06 10:39:55+00:00,0.0,0.761,fox,0.239,-27
28,0.4215,2018-03-06 10:38:14+00:00,0.047,0.845,fox,0.108,-28
29,0.0,2018-03-06 07:49:18+00:00,0.0,1.0,fox,0.0,-29
30,0.0,2018-03-06 06:29:05+00:00,0.0,1.0,fox,0.0,-30
31,0.2263,2018-03-06 01:15:21+00:00,0.12,0.684,fox,0.197,-31
32,0.2129,2018-03-06 01:14:33+00:00,0.0,0.816,fox,0.184,-32
33,0.25,2018-03-06 00:01:31+00:00,0.0,0.875,fox,0.125,-33
34,0.4404,2018-03-05 23:30:12+00:00,0.0,0.804,fox,0.196,-34
35,-0.5719,2018-03-05 23:27:14+00:00,0.179,0.821,fox,0.0,-35
36,0.0,2018-03-05 23:24:01+00:00,0.0,1.0,fox,0.0,-36
37,0.0772,2018-03-05 23:18:56+00:00,0.056,0.876,fox,0.068,-37
38,-0.3818,2018-03-05 20:53:25+00:00,0.115,0.885,fox,0.0,-38
39,-0.5423,2018-03-05 07:21:53+00:00,0.31,0.585,fox,0.105,-39
40,0.0,2018-03-05 07:13:40+00:00,0.0,1.0,fox,0.0,-40
41,-0.5423,2018-03-05 07:12:10+00:00,0.179,0.821,fox,0.0,-41
42,0.1655,2018-03-05 06:55:03+00:00,0.0,0.858,fox,0.142,-42
43,-0.3818,2018-03-05 06:37:09+00:00,0.246,0.644,fox,0.11,-43
44,0.0,2018-03-05 06:36:44+00:00,0.0,1.0,fox,0.0,-44
45,0.6808,2018-03-05 06:35:06+00:00,0.0,0.588,fox,0.412,-45
46,0.0,2018-03-05 06:33:54+00:00,0.0,1.0,fox,0.0,-46
47,-0.7778,2018-03-05 06:33:16+00:00,0.298,0.702,fox,0.0,-47
48,0.5965,2018-03-05 06:26:21+00:00,0.0,0.811,fox,0.189,-48
49,0.0,2018-03-05 05:18:28+00:00,0.0,1.0,fox,0.0,-49
50,0.0,2018-03-05 02:01:34+00:00,0.0,1.0,fox,0.0,-50
51,0.4588,2018-03-05 00:48:47+00:00,0.0,0.875,fox,0.125,-51
52,0.0,2018-03-05 00:27:32+00:00,0.0,1.0,fox,0.0,-52
53,0.1531,2018-03-04 23:39:43+00:00,0.0,0.874,fox,0.126,-53
54,0.8555,2018-03-04 23:20:09+00:00,0.0,0.591,fox,0.409,-54
55,0.6705,2018-03-04 23:19:26+00:00,0.0,0.792,fox,0.208,-55
56,-0.1531,2018-03-04 23:08:08+00:00,0.143,0.738,fox,0.119,-56
57,0.3182,2018-03-04 23:07:51+00:00,0.0,0.566,fox,0.434,-57
58,-0.3595,2018-03-04 22:42:20+00:00,0.116,0.884,fox,0.0,-58
59,0.7906,2018-03-04 22:38:52+00:00,0.062,0.62,fox,0.318,-59
60,0.0,2018-03-04 22:36:38+00:00,0.0,1.0,fox,0.0,-60
61,0.8221,2018-03-04 22:36:29+00:00,0.0,0.449,fox,0.551,-61
62,0.0,2018-03-04 22:02:08+00:00,0.0,1.0,fox,0.0,-62
63,0.0,2018-03-04 05:50:10+00:00,0.0,1.0,fox,0.0,-63
64,0.3612,2018-03-04 05:30:09+00:00,0.12,0.671,fox,0.208,-64
65,0.6249,2018-03-04 00:57:00+00:00,0.0,0.785,fox,0.215,-65
66,0.3182,2018-03-04 00:00:24+00:00,0.0,0.892,fox,0.108,-66
67,0.4199,2018-03-02 23:04:33+00:00,0.0,0.715,fox,0.285,-67
68,0.4939,2018-03-02 04:30:00+00:00,0.0,0.814,fox,0.186,-68
69,-0.25,2018-03-02 04:28:57+00:00,0.183,0.714,fox,0.103,-69
70,0.4019,2018-03-02 04:26:41+00:00,0.0,0.876,fox,0.124,-70
71,0.6808,2018-03-02 04:24:01+00:00,0.081,0.593,fox,0.326,-71
72,0.5106,2018-03-02 04:15:18+00:00,0.0,0.852,fox,0.148,-72
73,0.0,2018-03-02 01:41:53+00:00,0.0,1.0,fox,0.0,-73
74,0.7003,2018-03-02 00:30:47+00:00,0.081,0.662,fox,0.257,-74
75,0.296,2018-03-01 05:14:57+00:00,0.0,0.694,fox,0.306,-75
76,0.6908,2018-03-01 04:38:03+00:00,0.0,0.705,fox,0.295,-76
77,0.8014,2018-02-28 20:21:09+00:00,0.09,0.513,fox,0.397,-77
78,0.7896,2018-02-28 20:13:24+00:00,0.0,0.693,fox,0.307,-78
79,0.7171,2018-02-28 09:55:36+00:00,0.086,0.592,fox,0.322,-79
80,-0.296,2018-02-28 02:14:44+00:00,0.091,0.909,fox,0.0,-80
81,0.8316,2018-02-28 01:03:18+00:00,0.0,0.596,fox,0.404,-81
82,-0.5267,2018-02-28 00:28:58+00:00,0.468,0.532,fox,0.0,-82
83,0.4215,2018-02-28 00:26:10+00:00,0.0,0.417,fox,0.583,-83
84,0.4404,2018-02-28 00:01:19+00:00,0.0,0.804,fox,0.196,-84
85,0.8478,2018-02-27 23:59:39+00:00,0.0,0.379,fox,0.621,-85
86,0.7783,2018-02-27 23:20:17+00:00,0.0,0.673,fox,0.327,-86
87,0.0,2018-02-27 23:17:17+00:00,0.0,1.0,fox,0.0,-87
88,0.0,2018-02-27 22:59:51+00:00,0.0,1.0,fox,0.0,-88
89,-0.4019,2018-02-27 22:52:47+00:00,0.236,0.59,fox,0.173,-89
90,0.2023,2018-02-27 22:52:05+00:00,0.0,0.859,fox,0.141,-90
91,0.0772,2018-02-27 22:51:51+00:00,0.0,0.894,fox,0.106,-91
92,0.2617,2018-02-27 21:52:51+00:00,0.233,0.531,fox,0.236,-92
93,0.3612,2018-02-27 07:52:29+00:00,0.0,0.737,fox,0.263,-93
94,0.0516,2018-02-27 06:57:47+00:00,0.111,0.769,fox,0.12,-94
95,0.0,2018-02-27 06:53:38+00:00,0.0,1.0,fox,0.0,-95
96,-0.2351,2018-02-27 05:20:03+00:00,0.327,0.453,fox,0.221,-96
97,0.4404,2018-02-27 05:15:10+00:00,0.0,0.861,fox,0.139,-97
98,0.5859,2018-02-27 05:12:04+00:00,0.0,0.769,fox,0.231,-98
99,0.0,2018-02-27 05:06:02+00:00,0.0,1.0,fox,0.0,-99
